Anmerkungen,Ort Motiv,Koordinaten Motiv,Jahr Motiv,Titel,Untertitel,Ort Verlag,Verlag,Nummer,Schlagwörter,Mitarbeiter/Fotograf,Absendeort,Absendeort Koordinaten,Empfangsort,Empfangsort Koordinaten,Anzahl Menschen,Jahr Motiv bereinigt,Land
,Loburg,"52.116666666667,12.066666666667",1981,Storchenhof Loburg / Kreis Zerbst,Fachgruppe für Naturschutz und // Ornithologie Loburg/Rottenau // 1 Storchenpatienten im Gehege // 2 Storchenhof Loburg mit Trainingshorst // 3 Beringung der Jungenstörche - 4 Storchenwägung // 5 Vor der Nahrungsaufnahme,Magdeburg,Konsum -  fotocolor - Magdeburg,N 2/81 IV-14-483 05 07 01 056 M,1980er; 1981; Baudetail - Dach; Bezirk Magdeburg; Gehege; Kreis Zerbst; Menschen - 2; Menschen - Personen - 3; Naturschutz; Ort - Loburg; Ort - Loburg - Storchenhof; Tätigkeit - Behandlung; Tätigkeit - Beringen; Tätigkeit - Blick zur Kamera; Tätigkeit - einen Storch in den Horst setzen; Tätigkeit - Naturschutz; Tätigkeit - Ornithologie; Tiere - Störche; ungelaufen,,o.A.,,o.A.,,3,1981,Germany
,Löcknitz,"53.286944444444,11.781111111111",1971,Löcknitz (Kr. Pasewalk),Schulzenstraße,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),III/18/203 A1/B 181/71 3/1644,1970er; 1971; Architektur - Stil - Typenbauweise; Bautyp - Plattenbauten; Bezirk Neubrandenburg; Fotografie - Laub - von links oben; Fotografie - Perspektive; Kennzeichen - CN 35 48; Kreis Pasewalk; Menschen - 9; Menschen - Kleinfamilie; Ort - Löcknitz; Ort - Löcknitz - Schulzenstraße; Philokartie - Eindruck - Logo BILD UND HEIMAT; Stadtdetail - Laternen - Peitschenlampen; Stadtgestaltung - Neubaugebiet; Stadtnatur - Baum; Straße - Schulzenstraße - Löcknitz; Tätigkeit - Gehen; Tätigkeit - Hand in Hand; ungelaufen; Verkehr - Auto,Kampmann (Berlin),o.A.,,o.A.,,9,1971,Germany
,Loddin,"54.033333333333,14.016666666667",1980,"Loddin (Kr. Wolgast) // FDGB-Erholungsheim ""Kölpinshöh"" // Speisesaal",,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),V 11 50 A 1/B 135/80 01 01 11 977,"1980; 1980er; Bezirk Rostock; Detail - Zimmerpflanzen; FDGB; FDGB-Erholungsheim; FDGB-Heim - Ort - Loddin - ""Kölpinsee""; Fotografie - Innenaufnahme; Inneneinrichtung; Kreis Wolgast; Möbel - Anrichte; Möbel - Gedeck; Möbel - Lampen; Möbel - Stühle; Möbel - Tischdecken; Möbel - Tische; Möbel - Vorhänge; Ort - Loddin; Ort - Loddin - FDGB-Erholungsheim ""Kölpinshöh""; Raumtyp - Speisesaal; Zahl - 34; Zahl - 35; Zahl - 36; Zahl - 37",Darr (Bild und Heimat),o.A.,,o.A.,,9,1980,Germany
,Loddin,"54.033333333333,14.016666666667",1980,Loddin (Kr. Wolgast) // Ortsteil Kölpinsee,"FDGB-Erholungsheim ""Kölpinshöh"" // Fernsehraum",Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),V 11 50 A 1/B 135/80 01 01 11 980,"1980; 1980er; Bezirk Rostock; Detail - Zimmerpflanzen; FDGB-Heim - Ort - Loddin - ""Kölpinsee""; Ferienheim - Art - FDGB-Heim; Kreis Wolgast; Möbel - Fernsehgerät; Möbel - Fernsehgerät - eingeschaltet; Möbel - Gardinen; Möbel - Sideboard; Möbel - Vorhänge; Ort - Loddin; Ort - Loddin - FDGB-Erholungsheim ""Kölpinshöh""; Raumtyp - Fernsehraum; ungelaufen","Darr, [Bild und Heimat]",o.A.,,o.A.,,9,1980,Germany
,Lodenau,"51.379166666667,14.958333333333",1975,Lodenau (Kr. Niesky),Kulturhaus // Blick auf Lodenau // Ernst-Thälmann-Gedenkstein // Polytechnische Oberschule,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),III/18/197 A 1/B 244/75 01 12 12 012,1970er; 1974; Aufschrift - Ernst Thälmann 1886 - 1944; Aufschrift - Kulturhaus; Bezirk Dresden; Detail - Zaun - Lattenzaun; Fotografie - Ortsansicht; Gedenkstätte - Ernst-Thälmann-Gedenkstein - Lodenau; Kreis Niesky; Kulturhaus; Kulturhaus - Ort - Lodenau; Menschen - keine; Natur - Bäume - kahl; Ort - Lodenau; Ort - Lodenau - Ernst-Thälmann-Gedenkstein; Ort - Lodenau - Kulturhaus; Ort - Lodenau - Polytechnische Oberschule; Schule; Schule - Ort - Lodenau - Polytechnische Oberschule; Schule - Typ - Polytechnische Oberschule; ungelaufen,Heine,o.A.,,o.A.,,0,1975,Germany
,Lohma,"50.8822,12.2889",1971,LÖHMA (Kr. Saalfeld) – Sanatorium,,Magdeburg,konsum fotocolor magdeburg,A 5956 K N 2/71 IV-14-45 R 876,"1970er; 1971; Architekt - Reinherz Harnisch; Architekt - Walter Erler; Architekt - Werner Lonitz; Bauernhof; Bautyp - Fachwerk; Bautyp - Scheune; Bezirk Gera; Briefmarke - 1961 - Dauermarkenserie: Staatsratsvorsitzender Walter Ulbricht, 10 Pf. (grün) (Ersttag 29.08.1961); Detail - Heu; Detail - Heuhaufen; Detail - Zaun - Lattenzaun; Fotografie - Panorama; gelaufen - 1972 - 05 - 20; gelaufen 1970er; gelaufen 1972; Gesundheit - Art - Sanatorium; Gesundheit - Ort - Löhma - Sanatorium; Kreis Saalfeld; nach: Bautzen; Nachricht - Adressat - Betrieb - VEB Perfecta; Nachricht - An den Betrieb; Nachricht - Lebensmittel - Bier; Nachricht - Lebensmittel - Bier - schmeckt sehr gut; Nachricht - Spazieren; Nachricht - Wetter - sehr schlecht; Name - Eberhard; Natur - Bäume; Natur - Feld; Natur - Wald; Ort - Löhma; Ort - Löhma - Sanatorium; Philokartie - Eindruck - AA XX; Philokartie - Eindruck - Logo konsum fotocolor magdeburg; Stempel - Tagesstempel - SAALEFELD 68 a; Stempel - Werbestempel - 50 JAHRE FEENGROTTEN; von: Saalfeld",Opitz,Saalfeld,"50.650555555556,11.354166666667",Bautzen,"51.181388888889,14.423888888889",0,1971,Germany
,Lohma,"50.8822,12.2889",1973,Sanatorium Löhma / Krs. Saalfeld,,Magdeburg,konsum  fotocolor magdeburg,N 2/73 IV-14-45 05 10 07 041 M,1970er; 1973; Architekt - Reinherz Harnisch; Architekt - Walter Erler; Architekt - Werner Lonitz; Architektur; Bezirk Gera; Fotografie - Innenansicht; Gesundheit - Art - Sanatorium; Gesundheit - Ort - Löhma - Sanatorium; Innenarchitektur; Kreis Saalfeld; Kunst am Bau; Kurheim; Ort - Löhma; Ort - Löhma - Sanatorium; Wandbild,-,o.A.,,o.A.,,0,1973,Germany
,Loitz,"53.96916,13.129",1984,LOITZ (Kr. Demmin),Parkbühne,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),A 1/B 457/84 IV-14-483 So 1057/1 K,"1980er; 1984; Aufschrift - 1. MAI; Aufschrift - ES LEBE DER 1. Mai,; Baudetail - Bühne; Baudetail - Treppe; Bezirk Neubrandenburg; Ereignis - 1. Mai; Kleidung - Jacke; Kleidung - Tanzkostüim; Kreis Demmin; Kultur; Kultur - Freilichtbühne; Kultur - Freilichtbühne - Loitz; Menschen - Kinder; Menschen - viele; Möbel - Musikanlage; Möbel - Wimpel; Ort - Loitz; Ort - Loitz - Parkbühne; Stadtnatur - Bäume; Tätigkeit - Blick zur Seite; Tätigkeit - Gehen; Tätigkeit - Sitzen; Tätigkeit - Tanzen; Tätigkeit - Zusehen; ungelaufen",,o.A.,,o.A.,,0,1984,Germany
,Loitz,"53.96916,13.129",1984,LOITZ (Kr. Demmin),Erich-Weinert-Oberschule,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),A 1/B 457/84 IV-14-483 So 1057/7 K,1980er; 1984; Architektur - Stil - Typenbauweise; Baudetail - Fassade; Bezirk Neubrandenburg; Detail - Laterne - RSL1; Detail - Zaun; Fotografie - Laub - von links; Fotografie - Perspektive; Kreis Demmin; Menschen - 1; Ort - Loitz; Ort - Loitz - Erich-Weinert-Oberschule; Schule; Schule - Ort - Loitz - Erich-Weinert-Oberschule; ungelaufen,,o.A.,,o.A.,,1,1984,Germany
,Lommatzsch,"51.2,13.3",1984,Gruß aus Lommatzsch,,Dresden,"Nowak, 8020 Dresden",F III/9/171 J/69/84,1980er; 1984; Baudetail - Treppe; Beruf - Hortnerin; Bezirk Dresden; Detail - Laterne; Detail - Zaun - Jägerzaun; Fotografie - Panorama; Kirche; Kreis Meißen; Landwirtschaft - Feld; Menschen - Kinder; Natur - Baum - jung; Ort - Lommatzsch; Ort - Lommatzsch - 3. Polytechnische Oberschule; Schule; Schule - Ort - Lommatusch - 3. Polytechnische Oberschule; Schulhof; Sportanlage - Sportplatz; Tätigkeit - Treppensteigen; Treibhäuser; ungelaufen; Verkehr - Moped,,o.A.,,o.A.,,1,1984,Germany
,Lonnewitz,"51.2877,13.1398",1980,LONNEWITZ KR. OSCHATZ,HO-Raststätte,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),V 11 50 A 1/B 701/80 01 13 09 245,1980; 1980er; Architekt - Ingo Schönrock; Architekt - Ulrich Müther; Architektur - Stil - Ostmoderne; Bautyp - Hyparschale; Bezirk Leipzig; Detail - Laterne - Tulpe; Gastronomie - Art - Außengastronomie; Gastronomie - Art - HO-Raststätte; Gastronomie - Ort - Lonnewitz - HO-Raststätte Lonnewitz; Kreis Oschatz; Kunst am Bau - Tauchsport; Möbel - Bar; Möbel - Lampen; Möbel - Stühle; Möbel - Tische; Ort - Lonnewitz; Ort - Lonnewitz - HO-Raststätte; Tätigkeit - Gaststättenbesuch; ungelaufen; Verkehr - Auto - Lada; Verkehr - Auto - Trabant; Verkehr - Parkplatz; Verkehr - Raststätte; Wandbild,"Albrecht, [Oschatz]",o.A.,,o.A.,,1,1980,Germany
,Lübars,"52.6167,13.3667",1982,Lübars Kr. Burg,1 Straße der Freundschaft // 2 LPG und Rat der Gemeinde // 3 und 4 Schwimmbad,Magdeburg,Konsum - fotocolor - Magdeburg,N 2/82 IV-14-483 05 07 01 033 M,1980er; 1983; Baudetail - Geländer; Bezirk Magdeburg; Briefmarke - 1981 - Fachwerkbauten (II) - Zaulsdorf; Fotografie - Perspektive; Freibad; Freibad - Ort - Lübars; gelaufen - 1983 - 02 - 19; gelaufen 1980er; gelaufen 1983; Kleidung - Mütze - Matrosenmütze; Kreis Burg; Landwirtschaft - LPG - Lübars; LPG; nach: Schwerin; Nachricht - Ankunft; Nachricht - Disco; Nachricht - Ort - Glienicke; Nachricht - Ort - Lübars; Nachricht - Ort - Magdeburg; Name - Andi; Name - Carola; Name - Solvejg; Natur - Bäume; Natur - Steine; Ort - Lübars; Ort - Lübars - Freibad; Ort - Lübars - LPG; Ort - Lübars - Rat der Gemeinde; Ort - Lübars - Straße der Freundschaft; Parkanlage; Per - Solvejg Scholz; Schwimmbecken; Stadtgestaltung - Kopfsteinpflaster; Stadtmöbel - Sitzbänke; Stempel - Tagesstempel - BURG 3270; Straße - Straße der Freundschaft - Lübars; Tätigkeit - Badeaufsicht; Tätigkeit - Baden; Tätigkeit - Planschen; Verkehr - Auto; Verkehr - Parkplatz; Verkehrszeichen - Parkplatz; Verwaltung - Ort - Lübars - Rat der Gemeinde - Lübars; von: Burg,Ahlert,Burg,"50.6966,8.30475",Schwerin,"53.62888888888889,11.415",1,1982,Germany
,Lübben  (Spreewald),"51.95,13.9",1957,Spreewald-Lichtspiele Lübben,,Reichenbach (Vogtl),VEB  Volkskunstverlag Reichenbach i.V.,III/26/13 A 246/57 DDR Best. Nr. 4027,1950er; 1957; Bezirk Cottbus; Kino; Kreis Lübben; Landschaft - Spreewald; Ort - Lübben,Hauke (Lübben),o.A.,,o.A.,,1,1957,Germany
,Lübben (Spreewald),"51.95,13.9",1967,"Lübben (Spreewald), Poliklinik","Lubin (Błota), Poliklinika",Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),V 11 50 A 1/B 213/67 4/1775,1960er; 1967; Archigrafie - Poliklink; Baudetail - Eingangsbereich; Bezirk Cottbus; Detail - Gehstock; Gesundheit - Art - Poliklinik; Gesundheit - Ort - Lübben - Poliklinik; Kleidung - Accessoire - Aktentasche; Kleidung - Anzug; Kleidung - Hut; Kreis Lübben; Legende - Sorbisch; Menschen - 3; Menschen - Mutter mit Kind; Ort - Lübben; Ort - Lübben - Poliklinik; Philokartie - Auflagenvermerk; Philokartie - Auflagenvermerk - 3000; Stadtdetail - Parkbank; Stadtnatur - Bäume; Stadtnatur - Efeu; Stadtnatur - Sträuche; Tätigkeit - an der Hand führen; Tätigkeit - an der Hand gehen; Tätigkeit - Blick - zur Kamera; Tätigkeit - Gehen; ungelaufen,"Darr, [Bild und Heimat]",o.A.,,o.A.,,3,1967,Germany
,Lübben  (Spreewald),"51.95,13.9",1969,Lübben (Spreewald). Neustadt,,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),V 11/50 A 1/B 934/69 6/1773,1960er; 1969; Architektur; Bautyp - Neubaublöcke; Bezirk Cottbus; Kreis Lübben; Landschaft - Spreewald; Ort - Lübben; Stadtgestaltung - Neubaugebiet; Stadtgestaltung - Wohngebiet,Darr (Bild und Heimat),o.A.,,o.A.,,3,1969,Germany
,Lübben (Spreewald),"51.95,13.9",1970,Lübben (Spreewald),"Freibad ""Philipp Müller""",Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),V 11 50 A 1/B 1013/70 6/2196,"1970; 1970er; Baudetail - Treppe; Bezirk Cottbus; Briefmarke - 2000 - Weltausstellung EXPO 2000, Hannover; Detail - Betonpapierkorb; Detail - Pflanzkübel - Beton; Detail - Sitzbänke; Fotografie - Perspektive; Freibad; Freibad - Ort - Lübben - Freibad ""Philipp Müller""; gelaufen 2000; gelaufen 2000er; Jahreszeit - Sommer; Kleidung - Badkleidung; Kleidung - Oberkörper frei; Kreis Lübben; nach: Cottbus; Nachricht - ohne Nachricht; Name - Claus; Ort - Lübben; Ort - Lübben - Freibad ""Philipp Müller""; Per - Claus Hädrich; Philokartie - Eindruck - Logo BILD UND HEIMAT; Spielgerät - Rutsche; Sportgerät - Sprungturm; Stempel - Tagesstempel - LÜBBEN 1 LUBIN 1; Tätigkeit - Baden; Tätigkeit - Blick zur Seite; Tätigkeit - Sitzen; von: Lübben","Darr, [Bild und Heimat]",Lübben,"51.95,13.9",Cottbus,"51.76080555555556,14.331861111111111",3,1970,Germany
,Lübbenau/Spreewald,"51.867874,13.968828",o.J.,Ferienobjekt Schwielochsee,VEB Kraftwerke LV,Lübbenau-Vetschau,Werkfoto VEB  Kraftwerke Lübbenau-Vetschau,k.A.,"1 - ohne Jahr; Baudetail - Treppe; Bautyp - Baracken; Bezirk Cottbus; Briefmarke - Aufbau in der DDR - Großformat - Neptunbrunnen und Wohnhochhaus, Rathausstraße, Berlin; Detail - Wand - Ziermauer; Feriendorf; Fotografie - Innenaufnahme; gelaufen; Ins - VEB Kraftwerke Lübbenau-Vetschau; Kreis Lübben; Menschen - Kinder; Möbel - Lampen; Möbel - Stühle; Möbel - Tische; Nachricht - An den Onkel; Nachricht - An die Tante; Nachricht - Anrede - Familie; Nachricht - Baden; Nachricht - Dank - für Anfrage; Nachricht - Ort - Falkenstein; Nachricht - Ort - Falkenstein - Tiergarten; Nachricht - Ort - Rodewisch; Nachricht - Ort - Rodewisch - Sternwarte; Nachricht - Wandern; Name - Birgit; Name - Jörg; Name - kai; Name - Uli; Natur - Ufer; Natur - Wald; Philokartie - Logo; Philokartie - Logo - VEB Kraftwerke Lübbenau-Vetschau; See - Schwielochsee; Spielgerät - Rutsche",,o.A.,,o.A.,,3,,Germany
,Lübbenau/Spreewald,"51.867874,13.968828",1968,LÜBBENAU-NEUSTADT (Spreewald) // Straße des Friedens,Lubnjow-Nowe město (Błota) – Droga měra,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),A 1/B 492/68 IV14-45 6/1770,1960er; 1968; Architektur - Stil - Typenbauweise; Baudetail - Dachrinne; Baudetail - Vordach; Baudetail - Vorgarten; Bautyp - Hochhaus; Bautyp - Plattenbau; Bezirk Cottbus; Briefmarke - entfernt; DDR - Rumänien; Detail - Antenne; Detail - Fahnenhalterungen; Detail - Fenster - angekippt; Detail - Markisen; Fotografie - Perspektive; gelaufen 1960er; Kreis Calau; Legende - Sorbisch; Menschen - Kinder; Menschen - Kindergruppe; nach: Tirgu-Mures (Rumänien); Nachricht - Brieffreundschaft - Suche; Nachricht - Hobby; Nachricht - Hobby - Ansichtskarten; Nachricht - Hobby - Briefmarken; Nachricht - Hobby - Bücher; Name - Ilona; Name - Werner; Ort - Lübbenau; Ort - Lübbenau - Straße des Friedens; Per - Ilona Balogh; Per - Werner Hofmann; Stadtdetail - Laternen - Nationale Bautradition; Stadtdetail - Laternen - ohne Leuchte; Stadtgestaltung - Neubaugebiet; Stadtnatur - Vorgärten; Stempel - Bearbeitungsstempel - Tirgu-Mures; Straße - Straße des Friedens - Lübbenau; Tätigkeit - Rennen; Verkehr - Bus; Verkehrszeichen - Fahrradweg; Verkehrszeichen - Fußgänger; Verkehrszeichen - Rückseite; von: Lübbenau,"Darr, [Bild und Heimat]",Lübbenau,"51.867874,13.968828",Tirgu-Mures (Rumänien),"46.549722222222,24.559722222222",3,1968,Germany
,Lübbenau/Spreewald,"51.867874,13.968828",1968,LÜBBENAU-NEUSTADT SPREEWALD,"HO-Gaststätte ""Turbine"" // Kaufhaus des Friedens // Robert-Koch-Straße // Straße des Friedens",Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),V 11 50 A 1/B 24/68 6/1541,"1960er; 1968; Archigrafie - Kaufhaus; Baudetail - Schaufenster; Bezirk Cottbus; Detail - Jukebox; Einzelhandel - Art - Kaufhalle; Einzelhandel - Art - Kaufhaus; Einzelhandel - Ort - Lübbenau - Kaufhaus des Friedens; Fotografie - Innenaufnahme; Gastronomie - Art - HO-Gaststätte; Gastronomie - Ort - Lübbenau - HO-Gaststätte ""Turbine""; Kreis Calau; Menschen - Passanten; Möbel - Lampen; Möbel - Stühle; Möbel - Tische; Möbel - Vorhang; Musik - Instrument - Schlagzeug; Ort - Lübbenau; Ort - Lübbenau - HO-Gaststätte ""Turbine""; Ort - Lübbenau - Kaufhaus des Friedens; Ort - Lübbenau - Robert-Koch-Straße; Ort - Lübbenau - Straße des Friedens; Ort - Lübbenau-Neustadt; Philokartie - Eindruck - DAMW; Stadtdetail - Laterne; Stadtdetail - Pflanzschalen; Stadtgestaltung - Neubaugebiet; Stadtgestaltung - Stadtplatz; Straße - Robert-Koch-Straße - Lübbenau; Straße - Straße des Friedens - Lübbenau; ungelaufen; Verkehrszeichen - Fußgänger; Verkehrszeichen - Radweg","Darr, [Bild und Heimat]",o.A.,,o.A.,,3,1968,Germany
,Lübbenau/Spreewald,"51.867874,13.968828",1969,Lübbenau (Spreewald) // VEB Kraftwerke Lübbenau,,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),V 11 50 A1/B 934/69 6/1550,1960er; 1969; Bezirk Cottbus; Industrie; Industrie - Kraftwerk; Kreis Calau; Landschaft - Industrielandschaft; Ort - Lübbenau; Ort - Lübbenau - Kraftwerk; Schornsteine; ungelaufen,"Darr, [Bild und Heimat]",o.A.,,o.A.,,3,1969,Germany
,Lübbenau/Spreewald,"51.867874,13.968828",1969,LÜBBENAU SPREEWALD // II. Polytechnische Oberschule // Kaufhaus des Friedens // Hochhaus // VEB Kraftwerke Lübbenau // Robert-Koch-Straße,,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),III/18/6 A 1/B 262/69 6/1900,1960er; 1969; Architekt - Friedrich Stromberg; Architekt - Rainer Barth; Bezirk Cottbus; Einzelhandel - Art - Kaufhaus; Einzelhandel - Ort - Lübbenau - Kaufhaus des Friedens; Industrie; Industrie - VEB Kraftwerke Lübbenau; Kreis Calau; Menschen - Passanten; Nachricht - Anzeige in der Zeitung; Nachricht - Heizkessel; Name - Achim; Ort - Lübbenau; Ort - Lübbenau - II. Polytechnische Oberschule; Ort - Lübbenau - Robert-Koch-Straße; Per - Achim Jähn; Pflanzschalen; Radfahrer; Schule; Schule - Ort - Lübbenau - II. Polytechnische Oberschule; Schule - Typ - Oberschule; Schule - Typ - Polytechnische Oberschule; Stadtgestaltung - Neubaugebiet; Straße - Robert-Koch-Straße - Lübbenau; Verkehr - Motorradfahrer,,o.A.,,o.A.,,3,1969,Germany
,Lübbenau/Spreewald,"51.867874,13.968828",1970,Lübbenau/Spreewald // Lubnjow (Błota),,Berlin,Graphokopie H. Sander KG 1071 Berlin,B 8/70 Best.-Nr. T 573,1970; 1970er; Autos; Bautyp - Neubaublöcke; Bautyp - Plattenbauten; Bautyp - Wohnhochhaus; Bezirk Cottbus; Detail - Absperrstange; Detail - Antennen; Detail - Schaukästen; Kreis Calau; Menschen - Passanten; Natur - Unkraut; Ort - Lübbenau; Plakate; Stadtgestaltung - Neubaugebiet; Stadtmöbel - Fahrradständer; Tätigkeit - auf dem Moped sitzen; Tätigkeit - im Gespräch; Verkehr - Auto - Trabant; Verkehr - Bushaltestelle; Verkehr - Motorräder; Verkehr - Parkplatz,,o.A.,,o.A.,,3,1970,Germany
,Lübbenau/Spreewald,"51.867874,13.968828",1971,"Lübbenau (Spreewald) // HO-Spreewaldgaststätte ""Wotschofska"" // Selbstbedienung // Telefon: Lübbenau 2401 // Lubnjow (Błota) // Blośański HO-gosćenć ""Wotšowska"" // Sanoposlužowarnja",,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),V 11 50 A 1/B 141/71 6/2513,"1970er; 1971; Bezirk Cottbus; Detail - Absperrschnur; Detail - Absperrstange; Detail - Schild - getränkeentnahme; Detail - Schild - KALTE SPEISEN; Detail - Zimmerpflanzen; Folklore; Fotografie - Innenaufnahme; Gastronomie - Art - HO-Gaststätte; Gastronomie - Art - Selbstbedienung; Gastronomie - Ort - Lübbenau - HO Gaststätte ""Wotschofska""; Inneneinrichtung; Kreis Calau; Menschen - keine; Möbel - Buffett; Möbel - Hängelampen; Möbel - Registrierkasse; Ort - Lübbenau; Ort - Lübbenau - HO-Gaststätte ""Wotschofska""; Schild - Rauchen nicht gestattet; Schild - WARME SPEISEN; ungelaufen","Darr, [Bild und Heimat]",o.A.,,o.A.,,0,1971,Germany
,Lübbenau/Spreewald,"51.867874,13.968828",1974,Lübbenau (Spreewald) // Hafen // Lubnjow (Blota) // Psistaw,,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),V 11 50 A 1/B 88/74 01 06 02 046,1970er; 1974; Bautyp - Altbauten; Bautyp - Kirchturm; Bezirk Cottbus; Brücke; Detail - Boot - Spreewaldkahn; Detail - Boote; Detail - Warteschlange; Detail - Wimpel; Kleidung - Hut - Schiffermütze; Kleidung - Trachten; Kreis Calau; Landschaft - Spreewald; Menschen - Frau - mit Hund; Ort - Lübbenau; Stadtdetail - Laternen; Stadtmöbel - Papierkorb; Tätigkeit - Streicheln - Hund; Tätigkeit - Warten; Tiere - Hund; Tourismus; Verkehr - Anlegestelle; Wasser,Darr (Bild und Heimat),o.A.,,o.A.,,0,1974,Germany
,Lübbenau/Spreewald,"51.867874,13.968828",1974,Lübbenau (Spreewald) // Springbrunnen an der Hauptstraße // Lubnjow (Blota) // Fontana psi glownei droze,,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),V 11 50 A 1/B 103/74 01 05 02 034,1970er; 1974; Archigrafie - Adolf Pielenz; Bautyp - Altbauten; Bezirk Cottbus; Kreis Calau; Menschen - 5; Möbel - Weinflasche; Ort - Lübbenau; Ort - Lübbenau - Hauptstraße; Relief; Straße - Hauptstraße - Lübbenau: Springbrunnen; Tätigkeit - Sitzen; Wasser; Wegweiser; Wegweiser - HOG Spreeschlösschen,Darr (Bild und Heimat),o.A.,,o.A.,,5,1974,Germany
,Lübbenau/Spreewald,"51.867874,13.968828",1974,Lübbenau-Neustadt (Spreewald) // Hochhaus in der Straße der Jugend // Lubnjow-Nowe město  (Błota) // wusoki chrom ba Droze mlaziny,,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),V 11 50 A 1/B 102/74 01 06 02 031,1970er; 1974; Baudetail - Balkone; Baudetail - Dachrinne; Baudetail - Fahnenhalterung; Bautyp - Neubaublöcke; Bautyp - Plattenbau; Bautyp - Wohnhochhaus; Bezirk Cottbus; Detail - Blumenkästen; Kreis Calau; Menschen - Personen - 1; Natur - Unkraut; Ort - Lübbenau; Ort - Lübbenau - Straße der Jugend; Ort - Lübbenau-Neustadt; Stadtdetail - Laterne - Nationale Tradition; Stadtdetail - Laternen; Stadtgestaltung - Neubaugebiet; Straße - Straße der Jugend - Lübbenau,Darr (Bild und Heimat),o.A.,,o.A.,,1,1974,Germany
,Lubmin,"54.133333333333,13.616666666667",1964,Ostseebad Lubmin,Badestrand des Pionierlagers „Walter Ulbricht“,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),V 11 28 A 1/B 313/64 1/3537,1960er; 1964; Bezirk Rostock; Briefmarke - Staatsratsvorsitzender Walter Ulbricht 10 Pf; Detail - Leiter; Detail - Wasserball; gelaufen - 1964 - 06 - 08; gelaufen 1960er; gelaufen 1964; Kleidung - Accessoire - Sonnenbrille; Kleidung - Badekappe; Kleidung - Bademode; Kleidung - Hut - Sonnenhut; Kleidung - Kleid; Kreis Greifswald; Kreis Wolgast; Landschaft - Ostsee; Landschaft - Strand; Menschen - viele; nach: Waltersdorf; Nachricht - Abschiedsformel - Es grüßt Euch von ganzem Herzen; Nachricht - Abschiedsformel - Eure; Nachricht - Anrede - An Herrn; Nachricht - Anredeformel - Ihr Lieben; Nachricht - Bezug zur Bildseite; Nachricht - Ostsee; Nachricht - Wetter - kalt; Name - Franz; Name - Waltraud; Ort - Lubmin; Ort - Lubmin - Pionierlager Walter Ulbricht; Per - Franz Patz; Pionierlager - Ort - Lubmin - Pionierlager Walter Ulbricht; Spielgerät - Rutsche; Stempel - Tagesstempel - LUBMIN Kr. WOLGAST a; Tätigkeit - Ballspiel; Tätigkeit - Blick zur Kamera; Tätigkeit - Bücken; Tätigkeit - Bücken - nach Ball; Tätigkeit - Klettern; Tätigkeit - Liegen - auf dem Bauch; Tätigkeit - Posieren; Tätigkeit - Rutschen; Tätigkeit - Sitzen; Tätigkeit - Sitzen - am Strand; Tätigkeit - Strandleben; von: Lubmin,"Schlegel, [Lunzenau]",Lubmin,"54.133333333333,13.616666666667",Waltersdorf,"50.87,14.6528",1,1964,Germany
